Country,Extreme temperature,Drought,Volcanic eruption,Mass movement,Earthquake,Flood,Storm,Wildfire
Solomon Islands,0,0,0,0.622,0.825,0.843,0.824,0
Somalia,0,0.979,0,0,0,0.983,0.927,0.802
South Africa,0,0,0,0,0,0.933,0.867,0.856
South Sudan,0,0.806,0,0,0,0.982,0.828,0.746
Spain,0,0,0.821,0,0.858,0.87,0.736,0.912
Sri Lanka,0,0,0,0.881,0,0.986,0.969,0.692
St. Kitts and Nevis,0,0,0,0,0,0,0.647,0
St. Lucia,0,0,0,0,0,0,0.752,0
St. Martin (French part),0,0,0,0,0,0,0.842,0
St. Vincent and the Grenadines,0,0,0.88,0,0,0.653,0.786,0
Sudan,0,0,0,0,0,0.981,0,0
Suriname,0,0,0,0,0,0.851,0,0
Sweden,0,0,0,0,0,0.67,0,0.747
Switzerland,0,0,0,0.697,0,0.712,0.632,0
Syria,0,0,0,0,0,0.934,0.848,0.885
"Taiwan, China",0,0,0,0.792,0.76,0.85,0.945,0
Tajikistan,0,0,0,0.831,0.835,0.879,0,0
Tanzania,0,0,0,0,0.841,0.946,0.902,0
Thailand,0.698,0,0,0.701,0,0.989,0.942,0.684
Timor-Leste,0,0,0,0.668,0.629,0.774,0.864,0.765
Togo,0,0,0,0,0,0.911,0,0
Tokelau,0,0,0,0,0,0,0,0
Tonga,0,0,0,0,0,0.636,0.865,0
Trinidad and Tobago,0,0,0.649,0.643,0,0.74,0.64,0
Tunisia,0,0,0,0,0.624,0.859,0.634,0.77
Türkiye,0,0,0,0.75,0.954,0.887,0.633,0.925
Turks and Caicos Islands,0,0,0,0,0,0,0.672,0
Tuvalu,0,0,0,0,0,0,0.812,0
Uganda,0,0,0,0.834,0.744,0.965,0.854,0.661
Ukraine,0,0,0,0,0,0.89,0,0.748
United Arab Emirates,0,0,0,0,0.649,0.759,0.675,0
United Kingdom,0,0,0,0.689,0,0.897,0.865,0.707
United States,0.871,0,0.784,0.775,0.731,0.964,0.994,0.987
Uruguay,0,0,0,0,0,0.92,0.741,0.738
Uzbekistan,0,0,0,0,0,0.919,0,0
Vanuatu,0,0,0.88,0.728,0.629,0.687,0.94,0
Venezuela,0,0,0,0,0,0.95,0,0
Viet Nam,0,0,0,0.789,0.66,0.967,0.992,0.732
Virgin Islands,0,0,0,0,0,0,0.773,0
Yemen,0,0.644,0,0.663,0.68,0.958,0.93,0
Zambia,0,0,0,0.68,0.656,0.931,0.715,0
Zimbabwe,0,0,0,0.631,0,0.921,0.914,0.634
